JOBNAME,ISSUE_NO,UPDATE_TIME,REST_PTR,NODE_NUM,NODE_NAME,TYPE,STIFFNESS,GAP,FRIC_COEF,CNODE,XCOSINE,YCOSINE,ZCOSINE
21MARCH2023,,20240528 110018,28,395,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,29,495,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,29,495,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,30,498,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,30,498,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,31,499,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,31,499,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,32,500,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,32,500,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,33,505,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,34,515,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,35,520,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,36,533,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,37,540,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,38,545,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,39,550,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,40,555,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,40,555,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,41,560,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,42,565,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,43,570,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,44,585,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,45,590,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,46,595,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,46,595,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,47,600,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,48,605,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,49,610,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,50,615,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,51,620,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,52,625,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,52,625,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,53,630,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,54,631,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,55,632,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,56,633,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,57,634,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,57,634,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,58,635,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,59,636,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,60,637,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,61,638,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,62,639,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,62,639,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,76,640,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,63,641,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,64,642,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,65,643,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,66,644,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,67,645,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,67,645,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,68,646,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,69,647,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,70,648,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,71,649,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,72,651,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,72,651,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,73,652,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,74,653,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,75,654,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,77,655,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,77,655,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,78,660,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,79,665,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,80,670,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,80,670,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,81,685,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,82,690,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,83,695,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,84,700,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,85,701,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,86,702,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,87,703,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,87,703,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,88,704,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,89,705,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,90,706,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,91,710,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,91,710,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,92,720,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,93,721,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,94,722,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
